,sex,level,level_value,error_type,error_value,p_value,model,model_type,significance
0,0,sentiment,positive,valence,0.17974170412909596,1.488615156754844e-197,vader,dictionary,True
1,0,sentiment,positive,salience,0.2278375733855186,,vader,dictionary,
2,1,sentiment,positive,valence,0.13823991244765893,1.488615156754844e-197,vader,dictionary,True
3,1,sentiment,positive,salience,0.17041609170393188,,vader,dictionary,
4,0,sentiment,negative,valence,0.417492980956243,0.0,vader,dictionary,True
5,0,sentiment,negative,salience,0.263669636706162,,vader,dictionary,
6,1,sentiment,negative,valence,0.369963132715873,0.0,vader,dictionary,True
7,1,sentiment,negative,salience,0.18804480538397833,,vader,dictionary,
8,0,emotion,Sadness,valence,0.44026592942579335,3.1334415834993166e-274,vader,dictionary,True
9,0,emotion,Sadness,salience,0.2845233931712715,,vader,dictionary,
10,1,emotion,Sadness,valence,0.39584890236794434,3.1334415834993166e-274,vader,dictionary,True
11,1,emotion,Sadness,salience,0.20541692510775006,,vader,dictionary,
12,0,emotion,Affection,valence,0.19274721386874227,3.955337381225725e-101,vader,dictionary,True
13,0,emotion,Affection,salience,0.22348016471735999,,vader,dictionary,
14,1,emotion,Affection,valence,0.15513069454817027,3.955337381225725e-101,vader,dictionary,True
15,1,emotion,Affection,salience,0.16632112642842403,,vader,dictionary,
16,0,emotion,Fear,valence,0.40837274942391866,5.190032611865846e-179,vader,dictionary,True
17,0,emotion,Fear,salience,0.2478273058592655,,vader,dictionary,
18,1,emotion,Fear,valence,0.3550164588528678,5.190032611865846e-179,vader,dictionary,True
19,1,emotion,Fear,salience,0.17860028354090762,,vader,dictionary,
20,0,emotion,Anger,valence,0.3254240573810216,1.153395156569065e-06,vader,dictionary,True
21,0,emotion,Anger,salience,0.19761114185574616,,vader,dictionary,
22,1,emotion,Anger,valence,0.3135435842125323,1.153395156569065e-06,vader,dictionary,True
23,1,emotion,Anger,salience,0.15194958724052257,,vader,dictionary,
24,0,emotion,Happiness,valence,0.14376590330788805,1.0705705905436389e-41,vader,dictionary,True
25,0,emotion,Happiness,salience,0.23897474557105164,,vader,dictionary,
26,1,emotion,Happiness,valence,0.11318553092182031,1.0705705905436389e-41,vader,dictionary,True
27,1,emotion,Happiness,salience,0.17613480432515505,,vader,dictionary,
28,0,mood,Sad,valence,0.39076527585525017,7.186016489794919e-87,vader,dictionary,True
29,0,mood,Sad,salience,0.23170214711432158,,vader,dictionary,
30,1,mood,Sad,valence,0.3605902777777778,7.186016489794919e-87,vader,dictionary,True
31,1,mood,Sad,salience,0.17522690448276315,,vader,dictionary,
32,0,mood,Supportive,valence,0.22943963741244336,5.554759957937692e-45,vader,dictionary,True
33,0,mood,Supportive,salience,0.25196992120315187,,vader,dictionary,
34,1,mood,Supportive,valence,0.19266354187894844,5.554759957937692e-45,vader,dictionary,True
35,1,mood,Supportive,salience,0.18932634853073585,,vader,dictionary,
36,0,mood,Loving,valence,0.10928330928330929,0.011459678056487321,vader,dictionary,False
37,0,mood,Loving,salience,0.16359530261969285,,vader,dictionary,
38,1,mood,Loving,valence,0.10230506090348157,0.011459678056487321,vader,dictionary,False
39,1,mood,Loving,salience,0.12482857499064955,,vader,dictionary,
40,0,mood,Afraid,valence,0.3683425547269666,6.1803906945160755e-47,vader,dictionary,True
41,0,mood,Afraid,salience,0.21104500931434408,,vader,dictionary,
42,1,mood,Afraid,valence,0.3131717947770842,6.1803906945160755e-47,vader,dictionary,True
43,1,mood,Afraid,salience,0.1549683019382399,,vader,dictionary,
44,0,mood,Lonely,valence,0.5208711238958,1.600892155530097e-69,vader,dictionary,True
45,0,mood,Lonely,salience,0.37368110899090806,,vader,dictionary,
46,1,mood,Lonely,valence,0.48236316101602894,1.600892155530097e-69,vader,dictionary,True
47,1,mood,Lonely,salience,0.28476790619301523,,vader,dictionary,
48,0,mood,Frustrated,valence,0.34540523292916403,0.0020698588377772303,vader,dictionary,False
49,0,mood,Frustrated,salience,0.2025783881834672,,vader,dictionary,
50,1,mood,Frustrated,valence,0.3327974965706447,0.0020698588377772303,vader,dictionary,False
51,1,mood,Frustrated,salience,0.15969766500202456,,vader,dictionary,
52,0,mood,Caring,valence,0.18978338182993856,1.400721601208168e-28,vader,dictionary,True
53,0,mood,Caring,salience,0.21731526016615654,,vader,dictionary,
54,1,mood,Caring,valence,0.14569635385534968,1.400721601208168e-28,vader,dictionary,True
55,1,mood,Caring,salience,0.17626434849430864,,vader,dictionary,
56,0,mood,Nervous,valence,0.48640996602491504,4.400040845850738e-25,vader,dictionary,True
57,0,mood,Nervous,salience,0.3136587211502081,,vader,dictionary,
58,1,mood,Nervous,valence,0.43499567598731625,4.400040845850738e-25,vader,dictionary,True
59,1,mood,Nervous,salience,0.22789048650778018,,vader,dictionary,
60,0,mood,Furious,valence,0.2897510310065679,1.3868062989325773e-14,vader,dictionary,True
61,0,mood,Furious,salience,0.23089646046973206,,vader,dictionary,
62,1,mood,Furious,valence,0.23838836038052602,1.3868062989325773e-14,vader,dictionary,True
63,1,mood,Furious,salience,0.11574160014850567,,vader,dictionary,
64,0,mood,Stressed,valence,0.38011449739013303,1.016497253703984e-25,vader,dictionary,True
65,0,mood,Stressed,salience,0.23125913551889749,,vader,dictionary,
66,1,mood,Stressed,valence,0.3283592918641772,1.016497253703984e-25,vader,dictionary,True
67,1,mood,Stressed,salience,0.17766722927955939,,vader,dictionary,
68,0,mood,Anxious,valence,0.39739337286829496,4.325877182671245e-61,vader,dictionary,True
69,0,mood,Anxious,salience,0.24911284599006386,,vader,dictionary,
70,1,mood,Anxious,valence,0.34465027358428374,4.325877182671245e-61,vader,dictionary,True
71,1,mood,Anxious,salience,0.171640858273731,,vader,dictionary,
72,0,mood,Worried,valence,0.4363132067420525,9.418395912629791e-09,vader,dictionary,True
73,0,mood,Worried,salience,0.2519818799546999,,vader,dictionary,
74,1,mood,Worried,valence,0.40724504706562004,9.418395912629791e-09,vader,dictionary,True
75,1,mood,Worried,salience,0.19346187635825587,,vader,dictionary,
76,0,mood,Happy,valence,0.12893187149901852,2.4056715776206724e-19,vader,dictionary,True
77,0,mood,Happy,salience,0.20372882839511575,,vader,dictionary,
78,1,mood,Happy,valence,0.10554942456250985,2.4056715776206724e-19,vader,dictionary,True
79,1,mood,Happy,salience,0.15563492949361907,,vader,dictionary,
80,0,mood,Annoyed,valence,0.3570438508064516,0.19313704140901516,vader,dictionary,False
81,0,mood,Annoyed,salience,0.19929384072185172,,vader,dictionary,
82,1,mood,Annoyed,valence,0.35120579544371366,0.19313704140901516,vader,dictionary,False
83,1,mood,Annoyed,salience,0.17241169675968143,,vader,dictionary,
84,0,mood,Excited,valence,0.17548889116412408,4.311277262096121e-18,vader,dictionary,True
85,0,mood,Excited,salience,0.3081615120274914,,vader,dictionary,
86,1,mood,Excited,valence,0.136033964266761,4.311277262096121e-18,vader,dictionary,True
87,1,mood,Excited,salience,0.23376215877000314,,vader,dictionary,
88,0,mood,Angry,valence,0.2632696390658174,0.00022511799546293527,vader,dictionary,False
89,0,mood,Angry,salience,0.1648616125150421,,vader,dictionary,
90,1,mood,Angry,valence,0.24418499819689868,0.00022511799546293527,vader,dictionary,False
91,1,mood,Angry,salience,0.12210063354102309,,vader,dictionary,
92,0,sentiment,positive,valence,0.19931638538773766,,olmo,llm,
93,0,sentiment,positive,salience,0.0,,olmo,llm,
94,1,sentiment,positive,valence,0.17438464747601168,,olmo,llm,
95,1,sentiment,positive,salience,0.0,,olmo,llm,
96,0,sentiment,negative,valence,0.09408779020584641,,olmo,llm,
97,0,sentiment,negative,salience,0.0,,olmo,llm,
98,1,sentiment,negative,valence,0.06471452175509455,,olmo,llm,
99,1,sentiment,negative,salience,0.0,,olmo,llm,
100,0,emotion,Sadness,valence,0.13753723932472692,,olmo,llm,
101,0,emotion,Sadness,salience,0.0,,olmo,llm,
102,1,emotion,Sadness,valence,0.09427609427609428,,olmo,llm,
103,1,emotion,Sadness,salience,0.0,,olmo,llm,
104,0,emotion,Affection,valence,0.2210860366713681,,olmo,llm,
105,0,emotion,Affection,salience,0.0,,olmo,llm,
106,1,emotion,Affection,valence,0.20700416088765602,,olmo,llm,
107,1,emotion,Affection,salience,0.0,,olmo,llm,
108,0,emotion,Fear,valence,0.1099663582842725,,olmo,llm,
109,0,emotion,Fear,salience,0.0,,olmo,llm,
110,1,emotion,Fear,valence,0.07624513219922115,,olmo,llm,
111,1,emotion,Fear,salience,0.0,,olmo,llm,
112,0,emotion,Anger,valence,0.051951408632721637,,olmo,llm,
113,0,emotion,Anger,salience,0.0,,olmo,llm,
114,1,emotion,Anger,valence,0.03480691056910569,,olmo,llm,
115,1,emotion,Anger,salience,0.0,,olmo,llm,
116,0,emotion,Happiness,valence,0.16585365853658537,,olmo,llm,
117,0,emotion,Happiness,salience,0.0,,olmo,llm,
118,1,emotion,Happiness,valence,0.12513089005235603,,olmo,llm,
119,1,emotion,Happiness,salience,0.0,,olmo,llm,
120,0,mood,Sad,valence,0.09689922480620156,,olmo,llm,
121,0,mood,Sad,salience,0.0,,olmo,llm,
122,1,mood,Sad,valence,0.0470479704797048,,olmo,llm,
123,1,mood,Sad,salience,0.0,,olmo,llm,
124,0,mood,Supportive,valence,0.25,,olmo,llm,
125,0,mood,Supportive,salience,0.0,,olmo,llm,
126,1,mood,Supportive,valence,0.23700623700623702,,olmo,llm,
127,1,mood,Supportive,salience,0.0,,olmo,llm,
128,0,mood,Loving,valence,0.1921443736730361,,olmo,llm,
129,0,mood,Loving,salience,0.0,,olmo,llm,
130,1,mood,Loving,valence,0.15995872033023736,,olmo,llm,
131,1,mood,Loving,salience,0.0,,olmo,llm,
132,0,mood,Afraid,valence,0.062370062370062374,,olmo,llm,
133,0,mood,Afraid,salience,0.0,,olmo,llm,
134,1,mood,Afraid,valence,0.05015353121801433,,olmo,llm,
135,1,mood,Afraid,salience,0.0,,olmo,llm,
136,0,mood,Lonely,valence,0.18024439918533605,,olmo,llm,
137,0,mood,Lonely,salience,0.0,,olmo,llm,
138,1,mood,Lonely,valence,0.1457286432160804,,olmo,llm,
139,1,mood,Lonely,salience,0.0,,olmo,llm,
140,0,mood,Frustrated,valence,0.061855670103092786,,olmo,llm,
141,0,mood,Frustrated,salience,0.0,,olmo,llm,
142,1,mood,Frustrated,valence,0.04723618090452261,,olmo,llm,
143,1,mood,Frustrated,salience,0.0,,olmo,llm,
144,0,mood,Caring,valence,0.22043010752688172,,olmo,llm,
145,0,mood,Caring,salience,0.0,,olmo,llm,
146,1,mood,Caring,valence,0.22455403987408185,,olmo,llm,
147,1,mood,Caring,salience,0.0,,olmo,llm,
148,0,mood,Nervous,valence,0.17590618336886993,,olmo,llm,
149,0,mood,Nervous,salience,0.0,,olmo,llm,
150,1,mood,Nervous,valence,0.10553278688524591,,olmo,llm,
151,1,mood,Nervous,salience,0.0,,olmo,llm,
152,0,mood,Furious,valence,0.054695562435500514,,olmo,llm,
153,0,mood,Furious,salience,0.0,,olmo,llm,
154,1,mood,Furious,valence,0.026530612244897958,,olmo,llm,
155,1,mood,Furious,salience,0.0,,olmo,llm,
156,0,mood,Stressed,valence,0.0949367088607595,,olmo,llm,
157,0,mood,Stressed,salience,0.0,,olmo,llm,
158,1,mood,Stressed,valence,0.06441717791411043,,olmo,llm,
159,1,mood,Stressed,salience,0.0,,olmo,llm,
160,0,mood,Anxious,valence,0.11169652265542676,,olmo,llm,
161,0,mood,Anxious,salience,0.0,,olmo,llm,
162,1,mood,Anxious,valence,0.0764525993883792,,olmo,llm,
163,1,mood,Anxious,salience,0.0,,olmo,llm,
164,0,mood,Worried,valence,0.10636079249217935,,olmo,llm,
165,0,mood,Worried,salience,0.0,,olmo,llm,
166,1,mood,Worried,valence,0.08479834539813857,,olmo,llm,
167,1,mood,Worried,salience,0.0,,olmo,llm,
168,0,mood,Happy,valence,0.1544973544973545,,olmo,llm,
169,0,mood,Happy,salience,0.0,,olmo,llm,
170,1,mood,Happy,valence,0.10802469135802469,,olmo,llm,
171,1,mood,Happy,salience,0.0,,olmo,llm,
172,0,mood,Annoyed,valence,0.05284974093264249,,olmo,llm,
173,0,mood,Annoyed,salience,0.0,,olmo,llm,
174,1,mood,Annoyed,valence,0.04383282364933741,,olmo,llm,
175,1,mood,Annoyed,salience,0.0,,olmo,llm,
176,0,mood,Excited,valence,0.17777777777777778,,olmo,llm,
177,0,mood,Excited,salience,0.0,,olmo,llm,
178,1,mood,Excited,valence,0.14285714285714285,,olmo,llm,
179,1,mood,Excited,salience,0.0,,olmo,llm,
180,0,mood,Angry,valence,0.0383419689119171,,olmo,llm,
181,0,mood,Angry,salience,0.0,,olmo,llm,
182,1,mood,Angry,valence,0.02142857142857143,,olmo,llm,
183,1,mood,Angry,salience,0.0,,olmo,llm,
184,0,sentiment,positive,valence,0.11916461916461916,,falcon,llm,
185,0,sentiment,positive,salience,0.0,,falcon,llm,
186,1,sentiment,positive,valence,0.0984540276647681,,falcon,llm,
187,1,sentiment,positive,salience,0.0,,falcon,llm,
188,0,sentiment,negative,valence,0.19393492487786892,,falcon,llm,
189,0,sentiment,negative,salience,0.0,,falcon,llm,
190,1,sentiment,negative,valence,0.1372012406495165,,falcon,llm,
191,1,sentiment,negative,salience,0.0,,falcon,llm,
192,0,emotion,Sadness,valence,0.23807205452775074,,falcon,llm,
193,0,emotion,Sadness,salience,0.0,,falcon,llm,
194,1,emotion,Sadness,valence,0.17739628040057226,,falcon,llm,
195,1,emotion,Sadness,salience,0.0,,falcon,llm,
196,0,emotion,Affection,valence,0.1346743948175929,,falcon,llm,
197,0,emotion,Affection,salience,0.0,,falcon,llm,
198,1,emotion,Affection,valence,0.11573916012290884,,falcon,llm,
199,1,emotion,Affection,salience,0.0,,falcon,llm,
200,0,emotion,Fear,valence,0.2239572632011506,,falcon,llm,
201,0,emotion,Fear,salience,0.0,,falcon,llm,
202,1,emotion,Fear,valence,0.16221724067658447,,falcon,llm,
203,1,emotion,Fear,salience,0.0,,falcon,llm,
204,0,emotion,Anger,valence,0.13365580448065173,,falcon,llm,
205,0,emotion,Anger,salience,0.0,,falcon,llm,
206,1,emotion,Anger,valence,0.08489135927235977,,falcon,llm,
207,1,emotion,Anger,salience,0.0,,falcon,llm,
208,0,emotion,Happiness,valence,0.09584828293182983,,falcon,llm,
209,0,emotion,Happiness,salience,0.0,,falcon,llm,
210,1,emotion,Happiness,valence,0.07297433316557625,,falcon,llm,
211,1,emotion,Happiness,salience,0.0,,falcon,llm,
212,0,mood,Sad,valence,0.18947368421052632,,falcon,llm,
213,0,mood,Sad,salience,0.0,,falcon,llm,
214,1,mood,Sad,valence,0.11386593204775022,,falcon,llm,
215,1,mood,Sad,salience,0.0,,falcon,llm,
216,0,mood,Supportive,valence,0.15625,,falcon,llm,
217,0,mood,Supportive,salience,0.0,,falcon,llm,
218,1,mood,Supportive,valence,0.12846865364850976,,falcon,llm,
219,1,mood,Supportive,salience,0.0,,falcon,llm,
220,0,mood,Loving,valence,0.1111111111111111,,falcon,llm,
221,0,mood,Loving,salience,0.0,,falcon,llm,
222,1,mood,Loving,valence,0.08998988877654196,,falcon,llm,
223,1,mood,Loving,salience,0.0,,falcon,llm,
224,0,mood,Afraid,valence,0.1338100102145046,,falcon,llm,
225,0,mood,Afraid,salience,0.0,,falcon,llm,
226,1,mood,Afraid,valence,0.10851926977687627,,falcon,llm,
227,1,mood,Afraid,salience,0.0,,falcon,llm,
228,0,mood,Lonely,valence,0.288404360753221,,falcon,llm,
229,0,mood,Lonely,salience,0.0,,falcon,llm,
230,1,mood,Lonely,valence,0.24603174603174602,,falcon,llm,
231,1,mood,Lonely,salience,0.0,,falcon,llm,
232,0,mood,Frustrated,valence,0.14329580348004095,,falcon,llm,
233,0,mood,Frustrated,salience,0.0,,falcon,llm,
234,1,mood,Frustrated,valence,0.10240963855421686,,falcon,llm,
235,1,mood,Frustrated,salience,0.0,,falcon,llm,
236,0,mood,Caring,valence,0.13622291021671826,,falcon,llm,
237,0,mood,Caring,salience,0.0,,falcon,llm,
238,1,mood,Caring,valence,0.12926577042399173,,falcon,llm,
239,1,mood,Caring,salience,0.0,,falcon,llm,
240,0,mood,Nervous,valence,0.32714138286893707,,falcon,llm,
241,0,mood,Nervous,salience,0.0,,falcon,llm,
242,1,mood,Nervous,valence,0.2230142566191446,,falcon,llm,
243,1,mood,Nervous,salience,0.0,,falcon,llm,
244,0,mood,Furious,valence,0.14459049544994945,,falcon,llm,
245,0,mood,Furious,salience,0.0,,falcon,llm,
